
Standard Name
UL 1 Standard for Flexible Metal Conduit (Ed. 11) UL Edition Date
UL 4 Standard for Armored Cable (Ed. 15) UL Edition Date
UL 5 Standard for Surface Metal Raceways and Fittings (Ed. 15) UL Edition Date
UL 5A Nonmetallic Surface Raceways and Fittings (Ed. 4) UL Edition Date
UL 5B Standard for Strut-Type Channel Raceways and Fittings (Ed. 2) UL Edition Date
UL 5C Standard for Surface Raceways and Fittings for Use with Data Signal and Control Circuits (Ed. 3) UL Edition Date
UL 6 Electrical Rigid Metal Conduit – Steel (Ed. 14) UL Edition Date
UL 6A Standard for Electrical Rigid Metal Conduit – Aluminum and Stainless Steel (Ed. 2) UL Edition Date
UL 7 Outline of Investigation for Pump Tank Extinguishers (Ed. 3) UL Edition Date
UL 8 Water Based Agent Fire Extinguishers (Ed. 7) UL Edition Date
UL 9 Standard for Fire Tests of Window Assemblies (Ed. 8) UL Edition Date
UL 10 Subject 10 – Fire Doors (Ed. 1) UL Edition Date
UL 10 Guide for Evaluating Doors and Frames for Listing and Labelling (Ed. 1) ULC Edition Date
UL 10A Standard for Tin-Clad Fire Doors (Ed. 21) UL Edition Date
UL 10B Standard for Fire Tests of Door Assemblies (Ed. 10) UL Edition Date
UL 10C Standard for Positive Pressure Fire Tests of Door Assemblies (Ed. 3) UL Edition Date
UL 10D Standard for Fire Tests of Fire-Protective Curtain Assemblies (Ed. 2) UL Edition Date
UL 13 Standard for Power-Limited Circuit Cables (Ed. 4) UL Edition Date
UL 14 Guide for Hardware for Fire Doors and Emergency Exits (Ed. 1) ULC Edition Date
UL 14B Standard for Sliding Hardware for Standard Horizontally Mounted Tin-Clad Fire Doors (Ed. 9) UL Edition Date
UL 14C Standard for Swinging Hardware for Standard Tin-Clad Fire Doors Mounted Singly and in Pairs (Ed. 8) UL Edition Date
UL 19 Standard for Lined Fire Hose and Hose Assemblies (Ed. 14) UL Edition Date
UL 19G Guidance for Lined Fire Hose and Hose Assemblies (Ed. 1) UL Edition Date
UL 20 General-Use Snap Switches (Ed. 14) UL Edition Date
UL 21 Standard for LP-Gas Hose (Ed. 11) UL Edition Date
UL 22 Standard for Amusement and Gaming Machines (Ed. 6) UL Edition Date
UL 25 Standard for Meters for Flammable and Combustible Liquids and LP-Gas (Ed. 9) UL Edition Date
UL 25 Meters for Flammable and Combustible Liquids and Propane (Ed. 1) ULC Edition Date
UL 25A Meters for Gasoline and Gasoline/Ethanol Blends with Nominal Ethanol Concentrations up to 85 Percent (E0 – E85) (Ed. 1) UL Edition Date
UL 25B Meters for Diesel Fuel Biodiesel Fuel Diesel/Biodiesel Blends with Nominal Biodiesel Concentrations up to 20 Percent (B20) Kerosene and Fuel Oil (Ed. 1) UL Edition Date
UL 30 Standard for Metal Safety Cans (Ed. 9) UL Edition Date
UL 30 Safety Containers (Ed. 1) ULC Edition Date
UL 32 Standard for Metal Waste Cans (Ed. 5) UL Edition Date
UL 33 Heat Responsive Links for Fire-Protection Service / LIENS SENSIBLES À LA CHALEUR POUR LE SERVICE DE PROTECTION CONTRE LES INCENDIES (Ed. 9) UL Edition Date
UL 33 Heat Responsive Links for Fire-Protection Service / LIENS SENSIBLES À LA CHALEUR POUR LE SERVICE DE PROTECTION CONTRE LES INCENDIES (Ed. 9) ULC Edition Date
UL 38 Standard for Manual Signaling Boxes for Fire Alarm Systems (Ed. 8) UL Edition Date
UL 44 Thermoset-Insulated Wires and Cables (Ed. 19) UL Edition Date
UL 47 Standard for Semiautomatic Fire Hose Storage Devices (Ed. 6) UL Edition Date
UL 47 Preliminary Standard for Fire Hose Rack Assemblies (Ed. 1) ULC Edition Date
UL 48 Standard for Electric Signs (Ed. 15) UL Edition Date
UL 50 Enclosures for Electrical Equipment Non-Environmental Considerations (Ed. 13) UL Edition Date
UL 50E Enclosures for Electrical Equipment Environmental Considerations (Ed. 3) UL Edition Date
UL 50V Outline of Investigation for Infrared Viewports (Ed. 2) UL Edition Date
UL 51 Standard for Power-Operated Pumps for Anhydrous Ammonia and LP-Gas (Ed. 10) UL Edition Date
